Item_Number,Name,Year,Theme,Subtheme,Pieces,Minifigures,Image_URL,GBP_MSRP,USD_MSRP,CAD_MSRP,EUR_MSRP,Packaging,Availability
4780,Bulk_Set_-_500_bricks,2005,Creator,,500,NA,http://images.brickset.com/sets/images/4780-1.jpg,8.99,NA,NA,NA,Box,Retail
4781,Bulk_Set_-_300_bricks,2005,Creator,,300,NA,http://images.brickset.com/sets/images/4781-1.jpg,5.99,NA,NA,NA,Box,Retail
4782,Bulk_Set_-_200_bricks,2005,Creator,,200,NA,http://images.brickset.com/sets/images/4782-1.jpg,3.99,3,NA,NA,Box,Retail
4783,DUPLO_Basic_Bricks,2005,Duplo,,30,NA,http://images.brickset.com/sets/images/4783-1.jpg,3.99,NA,NA,NA,Not_specified,Not_specified
4784,Castle_Black_Dragon,2005,Duplo,Castle,8,1,http://images.brickset.com/sets/images/4784-1.jpg,8.99,15,NA,NA,Not_specified,Not_specified
4785,Black_Castle,2005,Duplo,Castle,380,6,http://images.brickset.com/sets/images/4785-1.jpg,89.99,100,NA,NA,Not_specified,Not_specified
4820,Princess'_Palace,2005,Duplo,Princess_Castle,78,3,http://images.brickset.com/sets/images/4820-1.jpg,53.79,79.99,NA,NA,Not_specified,Not_specified
4821,Princess'_Horse_and_Carriage,2005,Duplo,Princess_Castle,15,2,http://images.brickset.com/sets/images/4821-1.jpg,12.99,13,NA,NA,Not_specified,Not_specified
4822,Princess'_Bedroom,2005,Duplo,Princess_Castle,12,1,http://images.brickset.com/sets/images/4822-1.jpg,6.99,8,NA,NA,Not_specified,Not_specified
4868,Rahaga_Gaaki,2005,Bionicle,Rahaga,28,NA,http://images.brickset.com/sets/images/4868-1.jpg,NA,4,NA,NA,Not_specified,Not_specified
4869,Rahaga_Pouks,2005,Bionicle,Rahaga,28,NA,http://images.brickset.com/sets/images/4869-1.jpg,NA,4,NA,NA,Not_specified,Not_specified
4870,Rahaga_Kualus,2005,Bionicle,Rahaga,28,NA,http://images.brickset.com/sets/images/4870-1.jpg,NA,4,NA,NA,Not_specified,Not_specified
4874,Cool_Friends_Notes,2005,Clikits,,11,NA,http://images.brickset.com/sets/images/4874-1.jpg,1.99,NA,NA,NA,Not_specified,Not_specified
4875,Groovy_Friends_Gems,2005,Clikits,,13,NA,http://images.brickset.com/sets/images/4875-1.jpg,1.99,NA,NA,NA,Not_specified,Not_specified
4876,Fun_Friends_Hair_Bands,2005,Clikits,,22,NA,http://images.brickset.com/sets/images/4876-1.jpg,1.99,NA,NA,NA,Not_specified,Not_specified
4877,Rahaga_Norik,2005,Bionicle,Rahaga,28,NA,http://images.brickset.com/sets/images/4877-1.jpg,NA,4,NA,NA,Not_specified,Not_specified
4878,Rahaga_Bomonga,2005,Bionicle,Rahaga,28,NA,http://images.brickset.com/sets/images/4878-1.jpg,NA,4,NA,NA,Not_specified,Not_specified
4879,Rahaga_Iruini,2005,Bionicle,Rahaga,28,NA,http://images.brickset.com/sets/images/4879-1.jpg,NA,4,NA,NA,Not_specified,Not_specified
4881,Robo_Platoon,2005,Creator,Designer_Set,218,NA,http://images.brickset.com/sets/images/4881-1.jpg,7.99,10,NA,NA,Box,Retail
4882,Speed_Wings,2005,Creator,Designer_Set,161,NA,http://images.brickset.com/sets/images/4882-1.jpg,7.99,10,NA,NA,Box,Retail
4883,Gear_Grinders,2005,Creator,Designer_Set,273,NA,http://images.brickset.com/sets/images/4883-1.jpg,14.99,20,NA,NA,Box,Retail
